nombre,tipo,ubicacion,capacidad,estado
Cancha Principal,Fútbol,Zona Norte,22,disponible
Gimnasio Central,Gimnasio,Edificio A,50,disponible
Pista de Atletismo,Atletismo,Zona Sur,100,disponible
Cancha de Tenis,Tenis,Zona Este,4,disponible
Piscina Olímpica,Natación,Zona Oeste,30,mantenimiento
Cancha de Básquet,Básquet,Pabellón B,10,ocupada
Campo de Rugby,Rugby,Zona Norte,30,disponible
Sala de Yoga,Yoga,Edificio C,25,disponible
Cancha de Vóley,Vóley,Pabellón D,12,disponible
Estadio Municipal,Fútbol,Plaza Central,500,disponible
